Date,consumers,nutrients,functionalgroup,biomass,CPL,Stage,Func2,Plot,Herbivory
 Nov21,High,ambient,Browser,0,High CPL,MHW recovery,Herbivore,A1,open
 Nov21,High,ambient,Corallivore,29.72,High CPL,MHW recovery,Corallivore,A1,open
 Nov21,High,ambient,Detritivore,87.84,High CPL,MHW recovery,Herbivore,A1,open
 Nov21,High,ambient,Grazer,141.84,High CPL,MHW recovery,Herbivore,A1,open
 Nov21,High,ambient,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,A1,open
 Nov21,Medium,ambient,Browser,0,High CPL,MHW recovery,Herbivore,A1,3x3
 Nov21,Medium,ambient,Corallivore,0,High CPL,MHW recovery,Corallivore,A1,3x3
 Nov21,Medium,ambient,Detritivore,61.8,High CPL,MHW recovery,Herbivore,A1,3x3
 Nov21,Medium,ambient,Grazer,78.12,High CPL,MHW recovery,Herbivore,A1,3x3
 Nov21,Medium,ambient,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,A1,3x3
 Nov21,Low,ambient,Browser,0,Low CPL,MHW recovery,Herbivore,A1,2x2
 Nov21,Low,ambient,Corallivore,21.8,Low CPL,MHW recovery,Corallivore,A1,2x2
 Nov21,Low,ambient,Detritivore,0,Low CPL,MHW recovery,Herbivore,A1,2x2
 Nov21,Low,ambient,Grazer,25.39,Low CPL,MHW recovery,Herbivore,A1,2x2
 Nov21,Low,ambient,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,A1,2x2
 Nov21,Very Low,ambient,Browser,0,Low CPL,MHW recovery,Herbivore,A1,1x1
 Nov21,Very Low,ambient,Corallivore,0,Low CPL,MHW recovery,Corallivore,A1,1x1
 Nov21,Very Low,ambient,Detritivore,0,Low CPL,MHW recovery,Herbivore,A1,1x1
 Nov21,Very Low,ambient,Grazer,14.63,Low CPL,MHW recovery,Herbivore,A1,1x1
 Nov21,Very Low,ambient,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,A1,1x1
 Nov21,High,enriched,Browser,0,High CPL,MHW recovery,Herbivore,A2,open
 Nov21,High,enriched,Corallivore,48.98,High CPL,MHW recovery,Corallivore,A2,open
 Nov21,High,enriched,Detritivore,11.39,High CPL,MHW recovery,Herbivore,A2,open
 Nov21,High,enriched,Grazer,129.5,High CPL,MHW recovery,Herbivore,A2,open
 Nov21,High,enriched,Scraper/Excavator,483.7,High CPL,MHW recovery,Herbivore,A2,open
 Nov21,Medium,enriched,Browser,0,High CPL,MHW recovery,Herbivore,A2,3x3
 Nov21,Medium,enriched,Corallivore,0,High CPL,MHW recovery,Corallivore,A2,3x3
 Nov21,Medium,enriched,Detritivore,7.57,High CPL,MHW recovery,Herbivore,A2,3x3
 Nov21,Medium,enriched,Grazer,0,High CPL,MHW recovery,Herbivore,A2,3x3
 Nov21,Medium,enriched,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,A2,3x3
 Nov21,Low,enriched,Browser,0,Low CPL,MHW recovery,Herbivore,A2,2x2
 Nov21,Low,enriched,Corallivore,0,Low CPL,MHW recovery,Corallivore,A2,2x2
 Nov21,Low,enriched,Detritivore,0,Low CPL,MHW recovery,Herbivore,A2,2x2
 Nov21,Low,enriched,Grazer,0,Low CPL,MHW recovery,Herbivore,A2,2x2
 Nov21,Low,enriched,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,A2,2x2
 Nov21,Very Low,enriched,Browser,0,Low CPL,MHW recovery,Herbivore,A2,1x1
 Nov21,Very Low,enriched,Corallivore,0,Low CPL,MHW recovery,Corallivore,A2,1x1
 Nov21,Very Low,enriched,Detritivore,0,Low CPL,MHW recovery,Herbivore,A2,1x1
 Nov21,Very Low,enriched,Grazer,0,Low CPL,MHW recovery,Herbivore,A2,1x1
 Nov21,Very Low,enriched,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,A2,1x1
 Nov21,High,enriched,Browser,0,High CPL,MHW recovery,Herbivore,B3,open
 Nov21,High,enriched,Corallivore,0,High CPL,MHW recovery,Corallivore,B3,open
 Nov21,High,enriched,Detritivore,0,High CPL,MHW recovery,Herbivore,B3,open
 Nov21,High,enriched,Grazer,96.04,High CPL,MHW recovery,Herbivore,B3,open
 Nov21,High,enriched,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,B3,open
 Nov21,Medium,enriched,Browser,0,High CPL,MHW recovery,Herbivore,B3,3x3
 Nov21,Medium,enriched,Corallivore,0,High CPL,MHW recovery,Corallivore,B3,3x3
 Nov21,Medium,enriched,Detritivore,6.1,High CPL,MHW recovery,Herbivore,B3,3x3
 Nov21,Medium,enriched,Grazer,0,High CPL,MHW recovery,Herbivore,B3,3x3
 Nov21,Medium,enriched,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,B3,3x3
 Nov21,Low,enriched,Browser,0,Low CPL,MHW recovery,Herbivore,B3,2x2
 Nov21,Low,enriched,Corallivore,0,Low CPL,MHW recovery,Corallivore,B3,2x2
 Nov21,Low,enriched,Detritivore,108.03,Low CPL,MHW recovery,Herbivore,B3,2x2
 Nov21,Low,enriched,Grazer,19.03,Low CPL,MHW recovery,Herbivore,B3,2x2
 Nov21,Low,enriched,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,B3,2x2
 Nov21,Very Low,enriched,Browser,0,Low CPL,MHW recovery,Herbivore,B3,1x1
 Nov21,Very Low,enriched,Corallivore,0,Low CPL,MHW recovery,Corallivore,B3,1x1
 Nov21,Very Low,enriched,Detritivore,0,Low CPL,MHW recovery,Herbivore,B3,1x1
 Nov21,Very Low,enriched,Grazer,0,Low CPL,MHW recovery,Herbivore,B3,1x1
 Nov21,Very Low,enriched,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,B3,1x1
 Nov21,High,ambient,Browser,0,High CPL,MHW recovery,Herbivore,B4,open
 Nov21,High,ambient,Corallivore,0,High CPL,MHW recovery,Corallivore,B4,open
 Nov21,High,ambient,Detritivore,38.85,High CPL,MHW recovery,Herbivore,B4,open
 Nov21,High,ambient,Grazer,6.46,High CPL,MHW recovery,Herbivore,B4,open
 Nov21,High,ambient,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,B4,open
 Nov21,Medium,ambient,Browser,0,High CPL,MHW recovery,Herbivore,B4,3x3
 Nov21,Medium,ambient,Corallivore,0,High CPL,MHW recovery,Corallivore,B4,3x3
 Nov21,Medium,ambient,Detritivore,22.53,High CPL,MHW recovery,Herbivore,B4,3x3
 Nov21,Medium,ambient,Grazer,0,High CPL,MHW recovery,Herbivore,B4,3x3
 Nov21,Medium,ambient,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,B4,3x3
 Nov21,Low,ambient,Browser,0,Low CPL,MHW recovery,Herbivore,B4,2x2
 Nov21,Low,ambient,Corallivore,15.92,Low CPL,MHW recovery,Corallivore,B4,2x2
 Nov21,Low,ambient,Detritivore,22.53,Low CPL,MHW recovery,Herbivore,B4,2x2
 Nov21,Low,ambient,Grazer,0,Low CPL,MHW recovery,Herbivore,B4,2x2
 Nov21,Low,ambient,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,B4,2x2
 Nov21,Very Low,ambient,Browser,0,Low CPL,MHW recovery,Herbivore,B4,1x1
 Nov21,Very Low,ambient,Corallivore,0,Low CPL,MHW recovery,Corallivore,B4,1x1
 Nov21,Very Low,ambient,Detritivore,0,Low CPL,MHW recovery,Herbivore,B4,1x1
 Nov21,Very Low,ambient,Grazer,0,Low CPL,MHW recovery,Herbivore,B4,1x1
 Nov21,Very Low,ambient,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,B4,1x1
 Nov21,High,ambient,Browser,0,High CPL,MHW recovery,Herbivore,C1,open
 Nov21,High,ambient,Corallivore,0,High CPL,MHW recovery,Corallivore,C1,open
 Nov21,High,ambient,Detritivore,61.8,High CPL,MHW recovery,Herbivore,C1,open
 Nov21,High,ambient,Grazer,44.2,High CPL,MHW recovery,Herbivore,C1,open
 Nov21,High,ambient,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,C1,open
 Nov21,Medium,ambient,Browser,0,High CPL,MHW recovery,Herbivore,C1,3x3
 Nov21,Medium,ambient,Corallivore,0,High CPL,MHW recovery,Corallivore,C1,3x3
 Nov21,Medium,ambient,Detritivore,224.49,High CPL,MHW recovery,Herbivore,C1,3x3
 Nov21,Medium,ambient,Grazer,25.66,High CPL,MHW recovery,Herbivore,C1,3x3
 Nov21,Medium,ambient,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,C1,3x3
 Nov21,Low,ambient,Browser,0,Low CPL,MHW recovery,Herbivore,C1,2x2
 Nov21,Low,ambient,Corallivore,21,Low CPL,MHW recovery,Corallivore,C1,2x2
 Nov21,Low,ambient,Detritivore,149.18,Low CPL,MHW recovery,Herbivore,C1,2x2
 Nov21,Low,ambient,Grazer,0,Low CPL,MHW recovery,Herbivore,C1,2x2
 Nov21,Low,ambient,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,C1,2x2
 Nov21,Very Low,ambient,Browser,0,Low CPL,MHW recovery,Herbivore,C1,1x1
 Nov21,Very Low,ambient,Corallivore,0,Low CPL,MHW recovery,Corallivore,C1,1x1
 Nov21,Very Low,ambient,Detritivore,0,Low CPL,MHW recovery,Herbivore,C1,1x1
 Nov21,Very Low,ambient,Grazer,0,Low CPL,MHW recovery,Herbivore,C1,1x1
 Nov21,Very Low,ambient,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,C1,1x1
 Nov21,High,enriched,Browser,0,High CPL,MHW recovery,Herbivore,C3,open
 Nov21,High,enriched,Corallivore,0,High CPL,MHW recovery,Corallivore,C3,open
 Nov21,High,enriched,Detritivore,281.25,High CPL,MHW recovery,Herbivore,C3,open
 Nov21,High,enriched,Grazer,178.66,High CPL,MHW recovery,Herbivore,C3,open
 Nov21,High,enriched,Scraper/Excavator,436.04,High CPL,MHW recovery,Herbivore,C3,open
 Nov21,Medium,enriched,Browser,0,High CPL,MHW recovery,Herbivore,C3,3x3
 Nov21,Medium,enriched,Corallivore,0,High CPL,MHW recovery,Corallivore,C3,3x3
 Nov21,Medium,enriched,Detritivore,199.75,High CPL,MHW recovery,Herbivore,C3,3x3
 Nov21,Medium,enriched,Grazer,0,High CPL,MHW recovery,Herbivore,C3,3x3
 Nov21,Medium,enriched,Scraper/Excavator,276.46,High CPL,MHW recovery,Herbivore,C3,3x3
 Nov21,Low,enriched,Browser,0,Low CPL,MHW recovery,Herbivore,C3,2x2
 Nov21,Low,enriched,Corallivore,0,Low CPL,MHW recovery,Corallivore,C3,2x2
 Nov21,Low,enriched,Detritivore,0,Low CPL,MHW recovery,Herbivore,C3,2x2
 Nov21,Low,enriched,Grazer,0,Low CPL,MHW recovery,Herbivore,C3,2x2
 Nov21,Low,enriched,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,C3,2x2
 Nov21,Very Low,enriched,Browser,0,Low CPL,MHW recovery,Herbivore,C3,1x1
 Nov21,Very Low,enriched,Corallivore,0,Low CPL,MHW recovery,Corallivore,C3,1x1
 Nov21,Very Low,enriched,Detritivore,0,Low CPL,MHW recovery,Herbivore,C3,1x1
 Nov21,Very Low,enriched,Grazer,0,Low CPL,MHW recovery,Herbivore,C3,1x1
 Nov21,Very Low,enriched,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,C3,1x1
 Nov21,High,ambient,Browser,0,High CPL,MHW recovery,Herbivore,D2,open
 Nov21,High,ambient,Corallivore,0,High CPL,MHW recovery,Corallivore,D2,open
 Nov21,High,ambient,Detritivore,38.28,High CPL,MHW recovery,Herbivore,D2,open
 Nov21,High,ambient,Grazer,19.03,High CPL,MHW recovery,Herbivore,D2,open
 Nov21,High,ambient,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,D2,open
 Nov21,Medium,ambient,Browser,0,High CPL,MHW recovery,Herbivore,D2,3x3
 Nov21,Medium,ambient,Corallivore,29.32,High CPL,MHW recovery,Corallivore,D2,3x3
 Nov21,Medium,ambient,Detritivore,149.18,High CPL,MHW recovery,Herbivore,D2,3x3
 Nov21,Medium,ambient,Grazer,0,High CPL,MHW recovery,Herbivore,D2,3x3
 Nov21,Medium,ambient,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,D2,3x3
 Nov21,Low,ambient,Browser,0,Low CPL,MHW recovery,Herbivore,D2,2x2
 Nov21,Low,ambient,Corallivore,0,Low CPL,MHW recovery,Corallivore,D2,2x2
 Nov21,Low,ambient,Detritivore,0,Low CPL,MHW recovery,Herbivore,D2,2x2
 Nov21,Low,ambient,Grazer,0.6,Low CPL,MHW recovery,Herbivore,D2,2x2
 Nov21,Low,ambient,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,D2,2x2
 Nov21,Very Low,ambient,Browser,0,Low CPL,MHW recovery,Herbivore,D2,1x1
 Nov21,Very Low,ambient,Corallivore,0,Low CPL,MHW recovery,Corallivore,D2,1x1
 Nov21,Very Low,ambient,Detritivore,0,Low CPL,MHW recovery,Herbivore,D2,1x1
 Nov21,Very Low,ambient,Grazer,0,Low CPL,MHW recovery,Herbivore,D2,1x1
 Nov21,Very Low,ambient,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,D2,1x1
 Nov21,High,enriched,Browser,0,High CPL,MHW recovery,Herbivore,D4,open
 Nov21,High,enriched,Corallivore,9.17,High CPL,MHW recovery,Corallivore,D4,open
 Nov21,High,enriched,Detritivore,130.2,High CPL,MHW recovery,Herbivore,D4,open
 Nov21,High,enriched,Grazer,49.25,High CPL,MHW recovery,Herbivore,D4,open
 Nov21,High,enriched,Scraper/Excavator,346.21,High CPL,MHW recovery,Herbivore,D4,open
 Nov21,Medium,enriched,Browser,0,High CPL,MHW recovery,Herbivore,D4,3x3
 Nov21,Medium,enriched,Corallivore,5.52,High CPL,MHW recovery,Corallivore,D4,3x3
 Nov21,Medium,enriched,Detritivore,0,High CPL,MHW recovery,Herbivore,D4,3x3
 Nov21,Medium,enriched,Grazer,0,High CPL,MHW recovery,Herbivore,D4,3x3
 Nov21,Medium,enriched,Scraper/Excavator,0,High CPL,MHW recovery,Herbivore,D4,3x3
 Nov21,Low,enriched,Browser,0,Low CPL,MHW recovery,Herbivore,D4,2x2
 Nov21,Low,enriched,Corallivore,0,Low CPL,MHW recovery,Corallivore,D4,2x2
 Nov21,Low,enriched,Detritivore,0,Low CPL,MHW recovery,Herbivore,D4,2x2
 Nov21,Low,enriched,Grazer,0,Low CPL,MHW recovery,Herbivore,D4,2x2
 Nov21,Low,enriched,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,D4,2x2
 Nov21,Very Low,enriched,Browser,0,Low CPL,MHW recovery,Herbivore,D4,1x1
 Nov21,Very Low,enriched,Corallivore,0,Low CPL,MHW recovery,Corallivore,D4,1x1
 Nov21,Very Low,enriched,Detritivore,0,Low CPL,MHW recovery,Herbivore,D4,1x1
 Nov21,Very Low,enriched,Grazer,0,Low CPL,MHW recovery,Herbivore,D4,1x1
 Nov21,Very Low,enriched,Scraper/Excavator,0,Low CPL,MHW recovery,Herbivore,D4,1x1
 Nov22,High,ambient,Browser,0,High CPL,enrichment recovery,Herbivore,A1,open
 Nov22,High,ambient,Corallivore,10.75,High CPL,enrichment recovery,Corallivore,A1,open
 Nov22,High,ambient,Detritivore,98.25,High CPL,enrichment recovery,Herbivore,A1,open
 Nov22,High,ambient,Grazer,255.96,High CPL,enrichment recovery,Herbivore,A1,open
 Nov22,High,ambient,Scraper/Excavator,0,High CPL,enrichment recovery,Herbivore,A1,open
 Nov22,Medium,ambient,Browser,0,High CPL,enrichment recovery,Herbivore,A1,3x3
 Nov22,Medium,ambient,Corallivore,0,High CPL,enrichment recovery,Corallivore,A1,3x3
 Nov22,Medium,ambient,Detritivore,127.49,High CPL,enrichment recovery,Herbivore,A1,3x3
 Nov22,Medium,ambient,Grazer,0,High CPL,enrichment recovery,Herbivore,A1,3x3
 Nov22,Medium,ambient,Scraper/Excavator,0,High CPL,enrichment recovery,Herbivore,A1,3x3
 Nov22,Low,ambient,Browser,0,Low CPL,enrichment recovery,Herbivore,A1,2x2
 Nov22,Low,ambient,Corallivore,0,Low CPL,enrichment recovery,Corallivore,A1,2x2
 Nov22,Low,ambient,Detritivore,30.14,Low CPL,enrichment recovery,Herbivore,A1,2x2
 Nov22,Low,ambient,Grazer,33.04,Low CPL,enrichment recovery,Herbivore,A1,2x2
 Nov22,Low,ambient,Scraper/Excavator,0,Low CPL,enrichment recovery,Herbivore,A1,2x2
 Nov22,Very Low,ambient,Browser,0,Low CPL,enrichment recovery,Herbivore,A1,1x1
 Nov22,Very Low,ambient,Corallivore,0,Low CPL,enrichment recovery,Corallivore,A1,1x1
 Nov22,Very Low,ambient,Detritivore,8.94,Low CPL,enrichment recovery,Herbivore,A1,1x1
 Nov22,Very Low,ambient,Grazer,96.04,Low CPL,enrichment recovery,Herbivore,A1,1x1
 Nov22,Very Low,ambient,Scraper/Excavator,0,Low CPL,enrichment recovery,Herbivore,A1,1x1
 Nov22,High,enriched,Browser,0,High CPL,enrichment recovery,Herbivore,A2,open
 Nov22,High,enriched,Corallivore,0,High CPL,enrichment recovery,Corallivore,A2,open
 Nov22,High,enriched,Detritivore,111.73,High CPL,enrichment recovery,Herbivore,A2,open
 Nov22,High,enriched,Grazer,0,High CPL,enrichment recovery,Herbivore,A2,open
 Nov22,High,enriched,Scraper/Excavator,0,High CPL,enrichment recovery,Herbivore,A2,open
 Nov22,Medium,enriched,Browser,0,High CPL,enrichment recovery,Herbivore,A2,3x3
 Nov22,Medium,enriched,Corallivore,0,High CPL,enrichment recovery,Corallivore,A2,3x3
 Nov22,Medium,enriched,Detritivore,13.44,High CPL,enrichment recovery,Herbivore,A2,3x3
 Nov22,Medium,enriched,Grazer,96.04,High CPL,enrichment recovery,Herbivore,A2,3x3
 Nov22,Medium,enriched,Scraper/Excavator,0,High CPL,enrichment recovery,Herbivore,A2,3x3
 Nov22,Low,enriched,Browser,0,Low CPL,enrichment recovery,Herbivore,A2,2x2
 Nov22,Low,enriched,Corallivore,0,Low CPL,enrichment recovery,Corallivore,A2,2x2
 Nov22,Low,enriched,Detritivore,25.49,Low CPL,enrichment recovery,Herbivore,A2,2x2
 Nov22,Low,enriched,Grazer,33.04,Low CPL,enrichment recovery,Herbivore,A2,2x2
 Nov22,Low,enriched,Scraper/Excavator,0,Low CPL,enrichment recovery,Herbivore,A2,2x2
 Nov22,Very Low,enriched,Browser,0,Low CPL,enrichment recovery,Herbivore,A2,1x1
 Nov22,Very Low,enriched,Corallivore,0,Low CPL,enrichment recovery,Corallivore,A2,1x1
 Nov22,Very Low,enriched,Detritivore,0,Low CPL,enrichment recovery,Herbivore,A2,1x1
 Nov22,Very Low,enriched,Grazer,0,Low CPL,enrichment recovery,Herbivore,A2,1x1
 Nov22,Very Low,enriched,Scraper/Excavator,0,Low CPL,enrichment recovery,Herbivore,A2,1x1
 Nov22,High,enriched,Browser,0,High CPL,enrichment recovery,Herbivore,B3,open
 Nov22,High,enriched,Corallivore,0,High CPL,enrichment recovery,Corallivore,B3,open
 Nov22,High,enriched,Detritivore,61.8,High CPL,enrichment recovery,Herbivore,B3,open
 Nov22,High,enriched,Grazer,0,High CPL,enrichment recovery,Herbivore,B3,open
 Nov22,High,enriched,Scraper/Excavator,746.83,High CPL,enrichment recovery,Herbivore,B3,open
 Nov22,Medium,enriched,Browser,0,High CPL,enrichment recovery,Herbivore,B3,3x3
 Nov22,Medium,enriched,Corallivore,10.75,High CPL,enrichment recovery,Corallivore,B3,3x3
