Sample_ID,Date,Enriched,cpl,profile,Genus,Relative_Abundance
T3_214_A2_open,Aug19,Enriched,high cpl,A1,Symbiodinium,0
T3_226_A1_3x3,Aug19,Ambient,high cpl,A1,Symbiodinium,0
T3_226b_A1_3x3,Aug19,Ambient,high cpl,A1,Symbiodinium,0
T3_236_B3_3x3,Aug19,Enriched,high cpl,A1,Symbiodinium,0
T3_241_B4_1x1,Aug19,Ambient,low cpl,A1,Symbiodinium,0
T3_254_C1_2x2,Aug19,Ambient,low cpl,A1,Symbiodinium,0
T3_259_B4_3x3,Aug19,Ambient,high cpl,A1,Symbiodinium,0
T3_271_C3_open,Aug19,Enriched,high cpl,A1,Symbiodinium,0
T3_275_C3_2x2,Aug19,Enriched,low cpl,A1,Symbiodinium,0
T3_283_C1_2x2,Aug19,Ambient,low cpl,A1,Symbiodinium,0
T3_290_D2_2x2,Aug19,Ambient,low cpl,A1,Symbiodinium,0
T3_295_D4_1x1,Aug19,Enriched,low cpl,A1,Symbiodinium,0
T3_297_D4_1x1,Aug19,Enriched,low cpl,A1,Symbiodinium,0
T3_304_C1_3x3,Aug19,Ambient,high cpl,A1,Symbiodinium,0.011594519
T3_309_C3_open,Aug19,Enriched,high cpl,A1,Symbiodinium,0
T3_427_B3_3x3,Aug19,Enriched,high cpl,A1,Symbiodinium,0
T3_434_B4_2x2,Aug19,Ambient,low cpl,A1,Symbiodinium,0
T3_435_B4_open,Aug19,Ambient,high cpl,A1,Symbiodinium,0
T3_915_C3_1x1,Aug19,Enriched,low cpl,A1,Symbiodinium,0
T3_920_D4_open,Aug19,Enriched,high cpl,A1,Symbiodinium,0
T3_922_D4_3x3,Aug19,Enriched,high cpl,A1,Symbiodinium,0
T3_923_D4_1x1,Aug19,Enriched,low cpl,A1,Symbiodinium,0
T3_924_D2_1x1,Aug19,Ambient,low cpl,A1,Symbiodinium,0
T3_927_B3_2x2,Aug19,Enriched,low cpl,A1,Symbiodinium,0
T3_928_B3_open,Aug19,Enriched,high cpl,A1,Symbiodinium,0
T3_930_B4_2x2,Aug19,Ambient,low cpl,A1,Symbiodinium,0
T3_934_A1_3x3,Aug19,Ambient,high cpl,A1,Symbiodinium,0
T3_NA_B4_2x2,Aug19,Ambient,low cpl,A1,Symbiodinium,0
T3_NA_B4_3x3,Aug19,Ambient,high cpl,A1,Symbiodinium,0
T3_214_A2_open,Aug19,Enriched,high cpl,C1,Cladocopium,0
T3_226_A1_3x3,Aug19,Ambient,high cpl,C1,Cladocopium,0.864105421
T3_226b_A1_3x3,Aug19,Ambient,high cpl,C1,Cladocopium,0
T3_236_B3_3x3,Aug19,Enriched,high cpl,C1,Cladocopium,0.899402723
T3_241_B4_1x1,Aug19,Ambient,low cpl,C1,Cladocopium,0
T3_254_C1_2x2,Aug19,Ambient,low cpl,C1,Cladocopium,0.881240103
T3_259_B4_3x3,Aug19,Ambient,high cpl,C1,Cladocopium,0
T3_271_C3_open,Aug19,Enriched,high cpl,C1,Cladocopium,0
T3_275_C3_2x2,Aug19,Enriched,low cpl,C1,Cladocopium,0.894760533
T3_283_C1_2x2,Aug19,Ambient,low cpl,C1,Cladocopium,0
T3_290_D2_2x2,Aug19,Ambient,low cpl,C1,Cladocopium,0
T3_295_D4_1x1,Aug19,Enriched,low cpl,C1,Cladocopium,0
T3_297_D4_1x1,Aug19,Enriched,low cpl,C1,Cladocopium,0
T3_304_C1_3x3,Aug19,Ambient,high cpl,C1,Cladocopium,0.526551085
T3_309_C3_open,Aug19,Enriched,high cpl,C1,Cladocopium,0
T3_427_B3_3x3,Aug19,Enriched,high cpl,C1,Cladocopium,0.887481204
T3_434_B4_2x2,Aug19,Ambient,low cpl,C1,Cladocopium,0
T3_435_B4_open,Aug19,Ambient,high cpl,C1,Cladocopium,0.881729975
T3_915_C3_1x1,Aug19,Enriched,low cpl,C1,Cladocopium,0.888317171
T3_920_D4_open,Aug19,Enriched,high cpl,C1,Cladocopium,0
T3_922_D4_3x3,Aug19,Enriched,high cpl,C1,Cladocopium,0.900995303
T3_923_D4_1x1,Aug19,Enriched,low cpl,C1,Cladocopium,0
T3_924_D2_1x1,Aug19,Ambient,low cpl,C1,Cladocopium,0.887376306
T3_927_B3_2x2,Aug19,Enriched,low cpl,C1,Cladocopium,0
T3_928_B3_open,Aug19,Enriched,high cpl,C1,Cladocopium,0.896666356
T3_930_B4_2x2,Aug19,Ambient,low cpl,C1,Cladocopium,0.899527416
T3_934_A1_3x3,Aug19,Ambient,high cpl,C1,Cladocopium,0.884643698
